# lunarYear,newYearDate,leapMonth(0=無),monthLengths(依序，閏月緊接在同號月之後)
2000,2000-02-05,0,LLSSLSSLSLLS
2001,2001-01-24,4,LLSLSLSSLSLSL
2002,2002-02-12,0,LLSLSLSSLSLS
2003,2003-02-01,0,LLSLLSLSSLSL
2004,2004-01-22,2,SLSLLSLSLSLSL
2005,2005-02-09,0,SLSLSLLSLSLS
2006,2006-01-29,7,LSLSLSLSLLSLL
2007,2007-02-18,0,SSLSSLSLLLSL
2008,2008-02-07,0,LSSLSSLSLLSL
2009,2009-01-26,5,LLSSLSSLSLSLL
2010,2010-02-14,0,LSLSLSSLSLSL
2011,2011-02-03,0,LSLLSLSSLSLS
2012,2012-01-23,4,LSLLSLSLSLSLS
2013,2013-02-10,0,LSLSLLSLSLSL
2014,2014-01-31,9,SLSLSLSLLSLSL
2015,2015-02-19,0,SLSSLSLLLSLS
2016,2016-02-08,0,LSLSSLSLLSLL
2017,2017-01-28,6,SLSLSSLSLSLLL
2018,2018-02-16,0,SLSLSSLSLSLL
2019,2019-02-05,0,LSLSLSSLSSLL
2020,2020-01-25,4,SLLLSLSSLSLSL
2021,2021-02-12,0,SLLSLSLSLSLS
2022,2022-02-01,0,LSLSLLSLSLSL
2023,2023-01-22,2,SLSSLLSLLSLSL
2024,2024-02-10,0,SLSSLSLLSLLS
2025,2025-01-29,6,LSLSSLSLSLLLS
2026,2026-02-17,0,LSLSSLSSLLLS
2027,2027-02-06,0,LLSLSSLSSLLS
2028,2028-01-26,5,LLLSLSSLSSLLS
2029,2029-02-13,0,LLSLSLSLSSLL
2030,2030-02-03,0,SLSLLSLSLSLS
2031,2031-01-23,3,SLLSLSLLSLSLS
2032,2032-02-11,0,LSSLSLLSLLSL
2033,2033-01-31,11,SLSSLSLSLLLSL
2034,2034-02-19,0,SLSSLSLSLLSL
2035,2035-02-08,0,LSLSSLSSLLSL
2036,2036-01-28,6,LLSLSSLSSLSLL
2037,2037-02-15,0,LLSLSSLSSLSL
2038,2038-02-04,0,LLSLSLSLSSLS
2039,2039-01-24,5,LLSLLSLSLSLSS
2040,2040-02-12,0,LSLLSLSLLSLS
2041,2041-02-01,0,SLSLSLLSLLSL
2042,2042-01-22,2,SLSSLSLSLLSLL
2043,2043-02-10,0,SLSSLSSLLSLL
2044,2044-01-30,7,LSLSSLSSLSLLL
2045,2045-02-17,0,LSLSSLSSLSLL
2046,2046-02-06,0,LSLSLSLSSLSL
2047,2047-01-26,5,LSLLSLSLSSLSL
2048,2048-02-14,0,SLLSLLSLSSLS
2049,2049-02-02,0,LSLSLLSLLSLS
2050,2050-01-23,3,SLSLSLSLLSLLS
2051,2051-02-11,0,LSSLSSLLSLLL
2052,2052-02-01,8,SLSSLSSLSLLLL
2053,2053-02-19,0,SLSSLSSLSLLL
2054,2054-02-08,0,SLLSSLSSLSLL
2055,2055-01-28,6,SLLSLSLSSLSLS
2056,2056-02-15,0,LLLSLSLSSLSL
2057,2057-02-04,0,SLLSLSLSLSLS
2058,2058-01-24,4,LSLSLSLLSLLSS
2059,2059-02-12,0,LSLSLSLSLLLS
2060,2060-02-02,0,LSSLSSLSLLLS
2061,2061-01-21,3,LLSSLSSLSLLLS
2062,2062-02-09,0,LLSSLSSLSLLS
2063,2063-01-29,7,LLSLSLSSLSLSL
2064,2064-02-17,0,LLSLSLSSLSLS
2065,2065-02-05,0,LLSLLSLSSLSL
2066,2066-01-26,5,SLSLLSLSLSLSL
2067,2067-02-14,0,SLSLSLLSLSLS
2068,2068-02-03,0,LSLSSLLSLLSL
2069,2069-01-23,4,SLSLSSLSLLLSL
2070,2070-02-11,0,SLSLSSLSLLSL
2071,2071-01-31,8,LSLSLSSLSLSLL
2072,2072-02-19,0,LSLSLSSLSLSL
2073,2073-02-07,0,LSLLSLSSLSLS
2074,2074-01-27,6,LSLLSLSLSLSLS
2075,2075-02-15,0,LSLSLLSLSLSL
2076,2076-02-05,0,SLSLSLSLLSLS
2077,2077-01-24,4,LSLSSLSLLLSLS
2078,2078-02-12,0,LSLSSLSLLSLL
2079,2079-02-02,0,SLSLSSLSLSLL
2080,2080-01-22,3,LSLSLSSLSSLLL
2081,2081-02-09,0,SLLSLSSLSSLL
2082,2082-01-29,7,SLLLSSLSLSSLL
2083,2083-02-17,0,SLLSLSLSLSLS
2084,2084-02-06,0,LSLSLLSLSLSL
2085,2085-01-26,5,SLSSLLSLLSLSL
2086,2086-02-14,0,SLSSLSLLSLLS
2087,2087-02-03,0,LSLSSLSLSLLL
2088,2088-01-24,4,SLSLSSLSSLLLS
2089,2089-02-10,0,LLSLSSSLSLLS
2090,2090-01-30,8,LLLSLSSLSSLLS
2091,2091-02-18,0,LLSLSLSLSSLS
2092,2092-02-07,0,LLSLLSLSLSLS
2093,2093-01-27,6,SLLSLSLLSLSLS
2094,2094-02-15,0,SLSLSLLSLLSL
2095,2095-02-05,0,SLSSLSLSLLLS
2096,2096-01-25,4,LSLSSLSSLLLSL
2097,2097-02-12,0,LSLSSSLSLLSL
2098,2098-02-01,0,LLSLSSSLSLSL
2099,2099-01-21,2,LLSLLSSLSSLSL
